180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160
110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90
110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90
90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70
90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70
20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0
20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0
0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20
0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20
70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90
70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90
90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110
90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110
160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180
160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180
180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160
180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160
110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90
110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90
90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70
90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70
20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0
20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0
0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20
0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20
70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90
70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90
90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110
90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110
160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180
160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180
180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160
180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160
110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90
110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90
90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70
90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70
20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0
20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0
0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20
0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20
70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90
70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90
90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110
90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110
160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180
160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180
180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160
180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160
110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90
110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90
90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70
90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70,90,90,160,160,180,180,110,110,90,90,20,20,0,0,70,70
20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0
20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0,20,20,90,90,110,110,180,180,160,160,90,90,70,70,0,0
